,individual,status,prediction,binary,cluster,n_degs
1,A22D,D,0.9679140991412482,1,7,1
2,A25D,D,0.9395703862705262,1,7,1
3,C21D,D,0.999699785161864,1,7,1
4,T11D,E,0.6376837522860879,1,7,1
5,T13D,D,0.9997513632605253,1,7,1
6,T14D,D,0.0025206366924839813,0,7,1
7,T17D,NF,0.09299144650904723,0,7,1
8,T19D,D,0.8986661009841729,1,7,1
9,T5D,D,0.9964898202081534,1,7,1
0,A12D,E,0.0007924329617687917,0,8,5
1,A22D,D,0.04210003471140983,0,8,5
2,A25D,D,0.9550548124555526,1,8,5
3,C21D,D,0.3474299605795421,0,8,5
4,T11D,E,0.9918712354369281,1,8,5
5,T13D,D,0.0005145142504791606,0,8,5
6,T14D,D,0.9999746815851005,1,8,5
7,T17D,NF,0.9098730010788552,1,8,5
8,T19D,D,0.5651303385157567,1,8,5
9,T5D,D,0.09578220450511443,0,8,5
0,A12D,E,0.14118066327388712,0,9,2
1,A22D,D,0.025683969458037036,0,9,2
2,A25D,D,0.0010533515104478007,0,9,2
3,C21D,D,0.15106395325730484,0,9,2
4,T11D,E,0.9981157725189316,1,9,2
5,T13D,D,0.21286214803295667,0,9,2
6,T14D,D,0.48891712333494,0,9,2
7,T17D,NF,0.01164232878124641,0,9,2
8,T19D,D,0.02497527243147256,0,9,2
9,T5D,D,0.3992878811290231,0,9,2
0,A12D,E,0.025989171691154233,0,10,2
1,A22D,D,0.13683999868451477,0,10,2
2,A25D,D,0.07164484638367391,0,10,2
3,C21D,D,0.09609080511248869,0,10,2
4,T11D,E,0.005343212305533235,0,10,2
5,T13D,D,0.00282382305516015,0,10,2
6,T14D,D,0.1593354355697974,0,10,2
7,T17D,NF,0.08466277492295426,0,10,2
8,T19D,D,0.030294866464230456,0,10,2
9,T5D,D,0.025168939297019074,0,10,2
0,A12D,E,0.0068390052803301935,0,11,17
1,A22D,D,0.005480153739044185,0,11,17
2,A25D,D,0.0005437093403864987,0,11,17
3,C21D,D,0.0002768589107208352,0,11,17
4,T11D,E,0.9398434494138626,1,11,17
5,T13D,D,0.1825647917778452,0,11,17
6,T14D,D,0.08143615013060454,0,11,17
7,T17D,NF,0.00017353979753041249,0,11,17
8,T19D,D,0.039175329881196354,0,11,17
9,T5D,D,0.4392266827469402,0,11,17
0,A12D,E,0.804196602848806,1,12,2
1,A22D,D,0.04438818825189606,0,12,2
2,A25D,D,0.0001649062662834731,0,12,2
3,C21D,D,0.034629716898136015,0,12,2
4,T11D,E,0.875280848421349,1,12,2
5,T13D,D,0.09051112301637489,0,12,2
6,T14D,D,0.9146450256759918,1,12,2
7,T17D,NF,0.016495472477655964,0,12,2
8,T19D,D,0.01577707280023171,0,12,2
9,T5D,D,0.002473973001240525,0,12,2
0,A12D,E,0.9334535308761422,1,13,1
1,A22D,D,0.8427275229763255,1,13,1
2,A25D,D,0.9824288279371605,1,13,1
3,C21D,D,0.7140015584489862,1,13,1
4,T11D,E,0.9909346207381395,1,13,1
5,T13D,D,0.9911253779274825,1,13,1
6,T14D,D,0.587319696100549,1,13,1
7,T17D,NF,0.44849031618801083,0,13,1
8,T19D,D,0.8768842386378685,1,13,1
9,T5D,D,0.9967988735166726,1,13,1
0,A12D,E,0.17265973205283858,0,14,1
1,A22D,D,0.23369237071350132,0,14,1
2,A25D,D,0.5039505900017996,1,14,1
3,C21D,D,0.07117882610753783,0,14,1
4,T11D,E,0.8614330107348255,1,14,1
5,T13D,D,0.13622839839151493,0,14,1
6,T14D,D,0.03792213401689947,0,14,1
7,T17D,NF,0.14500102403953832,0,14,1
8,T19D,D,0.9977258957734323,1,14,1
9,T5D,D,0.30697991484389414,0,14,1
0,A12D,E,0.7561714910238135,1,15,2
1,A22D,D,0.9681566424902401,1,15,2
2,A25D,D,0.9025992337452277,1,15,2
3,C21D,D,0.44794714853543005,0,15,2
4,T11D,E,0.26793778020199327,0,15,2
5,T13D,D,7.278261953752875e-06,0,15,2
6,T14D,D,0.13459726270888658,0,15,2
7,T17D,NF,0.0005599880794340157,0,15,2
8,T19D,D,0.8293470017403481,1,15,2
9,T5D,D,0.013369308110496315,0,15,2
0,A12D,E,0.5350418510386137,1,16,2
1,A22D,D,0.9958805479825491,1,16,2
2,A25D,D,0.9843220304619665,1,16,2
3,C21D,D,0.24362011285694557,0,16,2
4,T11D,E,0.22443376493427172,0,16,2
5,T13D,D,0.8990431591863135,1,16,2
6,T14D,D,0.09081229383328239,0,16,2
7,T17D,NF,0.8472232008146136,1,16,2
8,T19D,D,0.9592014234552738,1,16,2
9,T5D,D,0.9605693250898256,1,16,2
0,A12D,E,0.673625492522586,1,17,5
1,A22D,D,0.9540025622915776,1,17,5
2,A25D,D,0.8206110841296391,1,17,5
3,C21D,D,0.02461951783339863,0,17,5
4,T11D,E,0.022903057142903683,0,17,5
5,T13D,D,0.8580276043669292,1,17,5
6,T14D,D,0.9199677814277778,1,17,5
7,T17D,NF,0.5561286202821121,1,17,5
8,T19D,D,0.3066368466527934,0,17,5
9,T5D,D,0.5079134768157455,1,17,5
0,A12D,E,0.36707983377144154,0,18,1
1,A22D,D,0.1469670266583343,0,18,1
2,A25D,D,0.3171173878376083,0,18,1
3,C21D,D,0.1469670266583343,0,18,1
4,T11D,E,0.1469670266583343,0,18,1
5,T13D,D,0.3492280232619323,0,18,1
6,T14D,D,0.9999999971098463,1,18,1
7,T17D,NF,0.3029144407474587,0,18,1
8,T19D,D,0.1469670266583343,0,18,1
9,T5D,D,0.6922574703081869,1,18,1
0,A12D,E,0.9623418135398152,1,19,3
1,A22D,D,0.015041515794802047,0,19,3
2,A25D,D,0.06828406342585445,0,19,3
3,C21D,D,0.0032643756043137825,0,19,3
4,T11D,E,0.01291905594596403,0,19,3
5,T13D,D,0.03320365706803899,0,19,3
6,T14D,D,0.00011849750659862273,0,19,3
7,T17D,NF,0.9835285298174566,1,19,3
8,T19D,D,0.06416329836801453,0,19,3
9,T5D,D,0.9407711224464789,1,19,3
0,A12D,E,0.7113876609626726,1,20,3
1,A22D,D,0.09664052607491318,0,20,3
2,A25D,D,0.2946757955611299,0,20,3
3,C21D,D,0.6474642903422514,1,20,3
4,T11D,E,0.6465500927579387,1,20,3
5,T13D,D,0.055708516553120126,0,20,3
6,T14D,D,0.8108427481755506,1,20,3
7,T17D,NF,0.0802676701313422,0,20,3
8,T19D,D,0.29869553325123693,0,20,3
9,T5D,D,0.06685812958645862,0,20,3
0,A12D,E,0.34906237705164617,0,22,1
1,A22D,D,0.5863395320224076,1,22,1
2,A25D,D,0.3596296712530518,0,22,1
3,C21D,D,0.49891439092674256,0,22,1
4,T11D,E,0.5314956497242022,1,22,1
5,T13D,D,0.3885959265295872,0,22,1
6,T14D,D,0.591802281431314,1,22,1
7,T17D,NF,0.5249377357867191,1,22,1
8,T19D,D,0.40939421183615315,0,22,1
9,T5D,D,0.5096858087163539,1,22,1
0,A12D,E,0.2642643487184587,0,23,1
1,A22D,D,0.6299636406128958,1,23,1
2,A25D,D,0.4953497056960249,0,23,1
3,C21D,D,0.6967082139913844,1,23,1
4,T11D,E,0.5195557583202872,1,23,1
5,T13D,D,0.5416717676852131,1,23,1
6,T14D,D,0.6645326097898923,1,23,1
7,T17D,NF,0.6902929868443,1,23,1
8,T19D,D,0.36725334086693945,0,23,1
9,T5D,D,0.62416579949154,1,23,1
0,A12D,E,0.9334887805969166,1,24,2
1,A22D,D,0.33662000655397084,0,24,2
2,A25D,D,0.12863630484424748,0,24,2
3,C21D,D,0.7437212613039444,1,24,2
4,T11D,E,0.9432247218859836,1,24,2
5,T13D,D,0.032010719481574926,0,24,2
6,T14D,D,0.0650735019804262,0,24,2
7,T17D,NF,0.06806088472133207,0,24,2
8,T19D,D,0.7143478718159875,1,24,2
9,T5D,D,0.04855364653938648,0,24,2
0,A12D,E,0.49323695800474715,0,25,1
1,A22D,D,0.4960372137897572,0,25,1
2,A25D,D,0.4936192838743403,0,25,1
3,C21D,D,0.5003641342159026,1,25,1
4,T11D,E,0.4995600051592577,0,25,1
5,T13D,D,0.5015063236962929,1,25,1
6,T14D,D,0.48220047388029785,0,25,1
7,T17D,NF,0.5133380988947948,1,25,1
8,T19D,D,0.48667537939400696,0,25,1
9,T5D,D,0.5162510578567429,1,25,1
